"Date","Luang Prabang","Chieang Saen","NongKhai","Chieng Khan","VienTiean","Mukdahan","KhongCham","Pakse","Stungtreng","Kratie","Kompongcham","Phnompenh Port","Tan Chau"
"Dec-14","6.24","3.38","3.51","6.35","2.88","2.71","3.11","2.09","3.20","8.66","4.70","2.86","1.27"
"Jan-15","5.21","2.60","2.68","5.39","2.10","2.20","2.58","1.60","2.87","7.85","3.69","1.97","0.92"
"Feb-15","4.15","2.06","1.73","4.21","1.20","1.80","2.17","1.22","2.60","7.27","3.04","1.62","0.64"
"Mar-15","5.30","3.20","2.42","5.15","1.84","2.07","2.36","1.39","2.63","7.26","2.92","1.37","0.58"
"Apr-15","5.64","3.29","3.02","5.70","2.33","2.51","2.80","1.82","2.88","7.83","3.34","2.12","0.63"
"May-15","4.91","2.55","2.56","5.11","1.92","2.43","2.73","1.74","2.88","7.83","3.27","1.02","0.47"
"Jun-15","6.20","3.58","3.63","6.30","2.85","2.88","3.20","2.21","3.30","8.63","3.85","1.25","0.50"
"Jul-15","7.24","3.82","3.98","6.94","3.29","4.73","5.09","3.86","4.59","11.23","6.03","2.39","0.76"
"Aug-15","10.96","5.08","8.28","10.41","7.12","8.77","9.63","7.82","7.03","15.99","10.41","5.23","1.79"
"Sep-15","9.70","4.18","7.56","9.69","6.48","7.76","9.11","7.39","6.87","15.91","10.49","5.72","2.06"
"Oct-15","7.09","3.20","4.86","7.42","4.05","5.18","6.43","5.05","5.51","13.59","8.82","5.38","2.10"
"Nov-15","5.73","2.73","3.20","5.94","2.53","2.88","3.41","2.34","3.41","9.12","5.03","3.12","1.40"
"Dec-15","4.99","2.38","2.28","5.01","1.77","2.09","2.47","1.50","2.81","7.63","3.57","1.80","0.96"
"Jan-16","4.60","2.47","1.87","4.56","1.38","1.89","2.21","1.27","2.61","7.16","2.94","1.29","0.72"
"Feb-16","4.18","2.07","1.75","4.15","1.22","1.91","2.24","1.29","2.59","7.09","2.82","1.26","0.73"
"Mar-16","4.89","2.79","2.11","4.72","1.57","1.90","2.15","1.21","2.48","6.80","2.52","0.94","0.52"
"Apr-16","4.83","2.71","2.27","4.84","1.71","2.22","2.50","1.56","2.71","7.35","2.79","0.90","0.44"
"May-16","4.97","2.62","2.27","4.96","1.71","2.18","2.45","1.51","2.69","7.28","2.69","0.86","0.43"
"Jun-16","5.30","2.55","2.80","5.55","2.18","3.10","3.48","2.51","3.50","8.92","3.94","1.33","0.51"
"Jul-16","6.92","3.17","4.52","7.29","3.72","5.65","6.42","5.14","5.42","13.22","7.86","3.52","1.23"
"Aug-16","11.06","4.57","8.29","10.77","7.37","7.67","8.39","6.78","6.55","15.19","9.49","4.57","1.52"
"Sep-16","10.08","4.06","8.27","10.35","7.23","8.41","10.00","8.21","7.82","17.73","11.89","6.38","2.31"
"Oct-16","7.27","3.09","5.25","7.81","4.51","4.86","6.59","5.21","6.02","15.03","10.30","6.61","2.71"
"Nov-16","7.41","3.60","4.88","7.57","4.20","4.05","5.12","3.88","4.64","11.77","7.58","5.15","2.19"
"Dec-16","5.87","2.99","3.09","6.00","2.56","2.66","3.19","2.20","3.56","9.46","5.35","3.34","1.51"
"Jan-17","5.40","2.57","2.72","5.59","2.20","2.44","2.77","1.79","3.07","8.27","4.06","2.19","1.08"
"Feb-17","5.19","3.02","2.26","5.17","1.75","2.11","2.36","1.44","2.78","7.48","3.24","1.43","0.80"
"Mar-17","6.05","3.49","3.15","6.15","2.64","2.67","2.92","1.94","3.00","8.01","3.39","1.30","0.67"
"Apr-17","5.95","3.15","2.79","5.77","2.32","2.59","2.88","2.02","3.06","8.16","3.48","1.31","0.65"
"May-17","6.37","3.51","3.95","6.80","3.26","3.43","3.78","2.88","3.66","9.36","4.37","1.67","0.76"
"Jun-17","5.66","2.91","3.32","6.17","2.54","4.44","5.51","4.48","5.02","12.45","7.11","3.13","1.10"
"Jul-17","8.46","3.88","5.99","8.67","5.26","7.61","9.35","7.69","7.40","16.34","10.30","5.11","1.78"
"Aug-17","10.84","4.79","8.16","10.45","7.08","8.87","11.10","9.12","8.29","18.87","13.11","7.45","2.91"
"Sep-17","10.93","5.34","8.50","10.71","7.44","8.59","10.69","8.74","7.74","17.82","12.25","7.47","2.99"
"Oct-17","8.48","3.77","6.63","9.10","5.47","6.03","7.80","6.13","6.26","15.58","10.81","7.24","3.05"
"Nov-17","7.91","4.09","5.03","7.94","3.94","4.06","5.42","3.98","4.79","12.08","7.76","5.28","2.25"
"Dec-17","6.80","3.61","4.01","6.95","2.96","3.25","3.78","2.61","3.71","9.74","5.53","3.43","1.56"
"Jan-18","6.19","3.30","3.24","6.30","2.27","2.67","2.98","1.85","3.16","8.43","4.10","2.17","1.06"
"Feb-18","4.80","2.50","2.01","4.93","1.20","2.22","2.55","1.48","2.91","7.88","3.52","1.60","0.80"
"Mar-18","4.50","2.51","1.70","4.69","1.22","1.95","2.22","1.20","2.72","7.45","3.00","1.22","0.66"
"Apr-18","5.97","3.39","2.89","6.03","2.32","2.47","2.72","1.63","2.93","7.83","3.21","1.18","0.67"
"May-18","6.88","3.81","4.08","7.12","3.38","3.36","3.69","2.47","3.41","8.95","3.90","1.38","0.71"
"Jun-18","7.29","3.57","4.41","7.43","3.64","4.60","5.12","3.84","4.69","11.57","6.21","2.44","0.88"
"Jul-18","10.03","4.26","6.98","9.71","6.06","8.18","9.78","8.10","7.77","16.76","10.54","5.15","1.69"
"Aug-18","14.29","5.70","10.90","12.95","9.64","12.15","14.25","11.89","10.62","21.85","15.24","8.54","3.49"
"Sep-18","12.99","5.56","10.17","12.00","8.87","10.37","12.05","9.94","9.00","20.15","14.38","8.82","3.90"
"Oct-18","9.68","4.58","6.09","8.85","5.26","5.25","5.94","4.42","5.13","13.06","9.04","6.54","2.90"
"Nov-18","9.73","3.54","4.43","7.35","3.72","3.68","4.20","2.88","3.83","10.05","6.03","4.05","1.70"
"Dec-18","8.83","2.89","2.70","5.69","2.08","2.57","2.99","1.81","3.11","8.46","4.33","2.50","1.18"
"Jan-19","9.19","3.25","3.15","6.17","2.52","2.89","3.25","2.03","3.21","8.51","4.10","1.95","1.02"
"Feb-19","8.86","3.15","2.45","5.56","1.84","2.41","2.73","1.57","2.85","7.79","3.40","1.35","0.66"
"Mar-19","9.03","3.75","3.27","6.35","2.65","2.97","3.28","2.07","3.13","8.32","3.70","1.30","0.65"
"Apr-19","8.78","3.68","3.20","6.30","2.57","2.86","3.18","1.98","2.87","7.98","3.55","1.24","0.63"
"May-19","9.01","3.89","3.35","6.43","2.77","2.92","3.25","2.07","3.14","8.34","3.56","1.12","0.60"
"Jun-19","8.73","3.33","3.42","6.32","2.82","3.78","4.07","2.84","3.61","9.32","4.42","1.40","0.63"
"Jul-19","7.08","2.48","1.76","4.77","1.42","3.12","3.66","2.58","3.85","9.81","4.74","1.53","0.58"
"Aug-19","9.66","2.68","4.85","7.61","4.05","6.21","7.29","5.81","6.34","14.43","8.61","3.80","1.21"
"Sep-19","8.63","2.51","3.73","6.44","3.04","6.74","11.25","9.42","9.31","20.12","13.98","3.86","3.06"
"Oct-19","7.51","2.07","1.77","4.72","1.43","2.29","3.33","2.10","3.87","10.25","6.45","5.44","1.95"
"Nov-19","8.53","2.03","1.21","4.04","1.10","1.51","2.09","0.92","2.91","7.94","3.97","4.61","1.17"
"Dec-19","8.21","2.54","1.59","4.47","1.35","1.76","2.24","1.07","2.72","7.40","3.14","1.32","0.87"
